L,A,W,D
Burnley,23,13,6,2.19,59
Manchester City,24,6,12,1.4,54
Bolton Wanderers,19,14,9,1.45,52
Liverpool,18,15,9,1.8,51
Newcastle United,20,10,12,1.47,50
Tottenham Hotspur,19,9,14,1.46,47
Everton,17,13,12,1.2,47
Middlesbrough,17,12,13,1.0,46
Arsenal,15,14,13,0.94,44
Aston Villa,18,7,17,0.9,43
Blackburn Rovers,13,15,14,0.97,41
Sunderland,14,13,15,0.95,41
Manchester United,15,10,17,0.94,40
West Bromwich Albion,13,14,15,0.93,40
Bradford City,12,15,15,0.97,39
Preston North End,15,9,18,0.94,39
Huddersfield Town,15,9,18,0.86,39
Chelsea,13,13,16,0.83,39
Oldham Athletic,9,15,18,0.57,33
Sheffield United,6,18,18,0.62,30
Derby County,5,16,21,0.55,26
Bradford,8,8,26,0.57,24
