First Division,W,D,L,G Ave,Pts
Sheffield Wednesday,26,8,8,1.84,60
Derby County,21,8,13,1.1,50
Manchester City,19,9,14,1.12,47
Aston Villa,21,5,16,1.11,47
Leeds United,20,6,16,1.25,46
Blackburn Rovers,19,7,16,1.06,45
West Ham United,19,5,18,1.09,43
Leicester City,17,9,16,0.96,43
Sunderland,18,7,17,0.95,43
Huddersfield Town,17,9,16,0.91,43
Birmingham,16,9,17,1.08,41
Liverpool,16,9,17,0.8,41
Portsmouth,15,10,17,1.06,40
Arsenal,14,11,17,1.18,39
Bolton Wanderers,15,9,18,1.0,39
Middlesbrough,16,6,20,0.98,38
Manchester United,15,8,19,0.76,38
Grimsby Town,15,7,20,0.82,37
Newcastle United,15,7,20,0.77,37
Sheffield United,15,6,21,0.95,36
Burnley,14,8,20,0.81,36
Everton,12,11,19,0.87,35
