First Division,W,D,L,GD,Pts
Liverpool,26,9,7,48.0,87
Ipswich Town,26,5,11,22.0,83
Manchester United,22,12,8,30.0,78
Tottenham Hotspur,20,11,11,19.0,71
Arsenal,20,11,11,11.0,71
Swansea City,21,6,15,7.0,69
Southampton,19,9,14,5.0,66
Everton,17,13,12,6.0,64
West Ham United,14,16,12,9.0,58
Manchester City,15,13,14,-1.0,58
Aston Villa,15,12,15,2.0,57
Nottingham Forest,15,12,15,-6.0,57
Brighton & Hove Albion,13,13,16,-9.0,52
Coventry City,13,11,18,-6.0,50
Notts County,13,8,21,-8.0,47
Birmingham City,10,14,18,-8.0,44
West Bromwich Albion,11,11,20,-11.0,44
Stoke City,12,8,22,-19.0,44
Sunderland,11,11,20,-20.0,44
Leeds United,10,12,20,-22.0,42
Wolverhampton Wanderers,10,10,22,-31.0,40
Middlesbrough,8,15,19,-18.0,39
