Premier League,W,D,L,GD,Pts
Manchester United,24,12,6,36.0,84
Aston Villa,21,11,10,17.0,74
Norwich City,21,9,12,-4.0,72
Blackburn Rovers,20,11,11,22.0,71
Queens Park Rangers,17,12,13,8.0,63
Liverpool,16,11,15,7.0,59
Sheffield Wednesday,15,14,13,4.0,59
Tottenham Hotspur,16,11,15,-6.0,59
Manchester City,15,12,15,5.0,57
Arsenal,15,11,16,2.0,56
Chelsea,14,14,14,-3.0,56
Wimbledon,14,12,16,1.0,54
Everton,15,8,19,-2.0,53
Sheffield United,14,10,18,1.0,52
Coventry City,13,13,16,-5.0,52
Ipswich Town,12,16,14,-5.0,52
Leeds United,12,15,15,-5.0,51
Southampton,13,11,18,-7.0,50
Oldham Athletic,13,10,19,-11.0,49
Crystal Palace,11,16,15,-13.0,49
Middlesbrough,11,11,20,-21.0,44
Nottingham Forest,10,10,22,-21.0,40
