,Pld,W,D,A,GD
Manchester United,28,5,5,43.0,89
Manchester City,23,9,6,32.0,78
Chelsea,22,9,7,36.0,75
Arsenal,21,10,7,35.0,73
Tottenham Hotspur,21,9,8,20.0,72
Everton,16,15,7,15.0,63
Liverpool,16,13,9,28.0,61
West Bromwich Albion,14,7,17,-4.0,49
Swansea City,11,13,14,-4.0,46
West Ham United,12,10,16,-8.0,46
Norwich City,10,14,14,-17.0,44
Fulham,11,10,17,-10.0,43
Stoke City,9,15,14,-11.0,42
Southampton,9,14,15,-11.0,41
Aston Villa,10,11,17,-22.0,41
Newcastle United,11,8,19,-23.0,41
Sunderland,9,12,17,-13.0,39
Wigan Athletic,9,9,20,-26.0,36
Reading,6,10,22,-30.0,28
Queens Park Rangers,4,13,21,-30.0,25
